#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 13 18 50  20  6.0  7.0   1.0     8   4.8 119 1024.0  21.9  22.9  16.7   MM -0.7    MM
2017 04 13 17 50  20  7.0  8.0   0.9     8   4.7 113 1024.6  21.8  23.1  18.5   MM +0.0    MM
2017 04 13 16 50  30  7.0  8.0   1.0     8   5.0 126 1024.5  21.8  23.4  18.6   MM +0.5    MM
2017 04 13 15 50  10  7.0  8.0   0.9     9   5.5 134 1024.7  21.5  23.8  19.7   MM +1.0    MM
2017 04 13 14 50  20  6.0  7.0   1.0     8   5.8 111 1024.5  22.7  24.3  17.1   MM +1.0    MM
2017 04 13 13 50  30  5.0  6.0   0.9     8   6.1 103 1024.0  22.7  24.5  17.2   MM +0.9    MM
2017 04 13 12 50  20  5.0  6.0   1.0     8   6.3 105 1023.7  22.5  24.6  18.4   MM +0.9    MM
2017 04 13 11 50  30  4.0  5.0   1.0     8   6.5 122 1023.5  22.6  24.6  17.4   MM +0.9    MM
2017 04 13 10 50  10  4.0  5.0   1.0     9   6.4 114 1023.1  22.3  24.6  17.8   MM +0.3    MM
2017 04 13 09 50  30  4.0  5.0   1.1     9   6.4 125 1022.8  22.2  24.1  16.9   MM +0.0    MM
2017 04 13 08 50  20  3.0  4.0   1.0     8   6.1 127 1022.6  22.2  23.8  16.9   MM -0.9    MM
2017 04 13 07 50  50  4.0  5.0   1.0     8   5.9 129 1022.8  22.2  23.4  17.0   MM -1.0    MM
2017 04 13 06 50  60  4.0  5.0   1.1     8   6.0 115 1023.0  22.2  23.4  16.8   MM -1.0    MM
2017 04 13 05 50  60  4.0  5.0   1.1     9   5.8 103 1023.5  22.2  23.7  17.0   MM -0.6    MM
2017 04 13 04 50  60  4.0  5.0   1.1     8   6.2 100 1023.8  22.5  23.9  16.6   MM +0.0    MM
2017 04 13 03 50  40  5.0  5.0   1.1     8   6.4 129 1024.0  22.3  24.0  16.6   MM +0.6    MM
2017 04 13 02 50  30  5.0  6.0   1.0     9   6.1 111 1024.1  22.3  24.1  16.2   MM +1.0    MM
2017 04 13 01 50  30  5.0  6.0   1.1     8   6.4 131 1024.0  22.3  24.3  16.7   MM +0.9    MM
2017 04 13 00 50  50  4.0  5.0   1.1     8   6.1 121 1023.4  22.2  24.5  16.2   MM +0.3    MM
2017 04 12 23 50  30  4.0  5.0   1.3     9   6.6 118 1023.1  22.1  24.5  16.4   MM +0.0    MM
2017 04 12 22 50  40  4.0  4.0   1.1     9   6.1 134 1023.1  22.4  24.0  15.1   MM +0.0    MM
2017 04 12 21 50  40  4.0  4.0   1.1     8   5.9 150 1023.1  22.4  23.8  14.5   MM -0.7    MM
2017 04 12 20 50  50  4.0  5.0   1.0     8   5.6 145 1022.9  22.4  23.9  14.3   MM -1.2    MM
2017 04 12 19 50  70  4.0  4.0   1.1     8   5.8 141 1023.1  22.3  23.8  13.4   MM -1.4    MM
2017 04 12 18 50  40  3.0  4.0   1.1     8   6.0 138 1023.8  22.2  23.6  13.2   MM -1.1    MM
2017 04 12 17 50  50  4.0  5.0   1.0     8   5.9 144 1024.1  22.0  23.5  13.8   MM -0.7    MM
2017 04 12 16 50  50  3.0  4.0   1.0     7   5.8 123 1024.5  21.9  23.4  13.5   MM +0.0    MM
2017 04 12 15 50  30  4.0  5.0   0.9     8   6.0 129 1024.9  21.6  23.2  14.5   MM +0.8    MM
2017 04 12 14 50  30  4.0  5.0   1.1     8   6.3 128 1024.8  21.4  23.0  15.6   MM +1.1    MM
2017 04 12 13 50 360  3.0  4.0   1.0     8   6.2 131 1024.4  21.8  23.0  13.6   MM +1.2    MM
2017 04 12 12 50 330  3.0  4.0   1.1     8   6.1 139 1024.1  21.9  23.1  12.4   MM +1.3    MM
2017 04 12 11 50 320  3.0  3.0   1.0     8   5.7 148 1023.7  21.8  22.9  12.4   MM +1.1    MM
2017 04 12 10 50 300  2.0  2.0   0.9     8   5.5 141 1023.2  21.7  22.6  12.2   MM +0.4    MM
2017 04 12 09 50 260  2.0  3.0   0.8     7   5.0 147 1022.8  21.7  22.5  12.0   MM -0.3    MM
2017 04 12 08 50 230  4.0  4.0   1.0     7   5.2 142 1022.6  21.9  22.4  11.7   MM -1.1    MM
2017 04 12 07 50 190  4.0  5.0   0.9     7   4.8 155 1022.8  22.0  22.4  11.5   MM -1.3    MM
2017 04 12 06 50 170  5.0  7.0   0.9     7   4.7 138 1023.1  22.0  22.5  12.3   MM -1.0    MM
2017 04 12 05 50 160  5.0  6.0   0.9     7   4.7 113 1023.7  22.2  22.5  12.0   MM -0.5    MM
